family,comparison,metric,calibrator,model,n,med_a,med_b,med_diff,p,p_adj,sig,rbc,magnitude,note,wins,losses,ties
H2,isotonic vs raw,cal_brier_score,isotonic,catboost,36,0.1314105010414557,0.13082906717292425,-0.0021129125141769317,0.03929476501070894,0.8251900652248878,False,-0.3933933933933934,medium,calibrator effect within model,13,23,0
H2,dirichlet vs raw,cal_nll,dirichlet,catboost,36,0.22036744522062873,0.26396981314894524,-0.00941867595084632,0.0019591173622757196,0.06660999031737447,False,-0.5765765765765766,large,calibrator effect within model,11,25,0
H2,dirichlet vs raw,cal_ece_mean,dirichlet,catboost,36,0.0151456014453673,0.03851591447796405,-0.0098833718626921,2.566695911809802e-06,0.00014630166697315872,True,-0.8228228228228228,large,calibrator effect within model,5,31,0
H2,dirichlet vs raw,cal_brier_score,dirichlet,catboost,36,0.1251446009797225,0.13082906717292425,-0.003777945166060212,2.3269385565072298e-05,0.001163469278253615,True,-0.7567567567567568,large,calibrator effect within model,7,29,0
H2,temp vs raw,cal_nll,temp,single_mlp,36,0.24442058801650998,0.24763847887516022,-0.0016928613185882568,0.00017213073442690074,0.0077458830492105335,True,-0.6846846846846847,large,calibrator effect within model,6,30,0
H2,temp vs raw,cal_ece_mean,temp,single_mlp,36,0.017923293560415,0.02762454516287365,-0.002006999612301351,0.018340019683819264,0.44016047241166234,False,-0.44744744744744747,medium,calibrator effect within model,13,23,0
H2,temp vs raw,cal_brier_score,temp,single_mlp,36,0.13892943412065506,0.13891846686601633,-0.0001249387860298365,0.03929476501070894,0.8251900652248878,False,-0.3933933933933934,medium,calibrator effect within model,12,24,0
H2,logistic vs raw,cal_nll,logistic,single_mlp,36,0.29981196470434135,0.24763847887516022,0.023951959161635242,5.820766091346741e-11,4.190951585769653e-09,True,0.996996996996997,large,calibrator effect within model,35,1,0
H2,logistic vs raw,cal_ece_mean,logistic,single_mlp,36,0.044195754409254204,0.02762454516287365,0.013945942007371799,1.2062606401741505e-05,0.0006272555328905582,True,0.7777777777777778,large,calibrator effect within model,31,5,0
H2,logistic vs raw,cal_brier_score,logistic,single_mlp,36,0.1487426527619023,0.13891846686601633,0.0040378454713589605,8.143309969455004e-06,0.0004397387383505702,True,0.7897897897897898,large,calibrator effect within model,30,6,0
H2,isotonic vs raw,cal_nll,isotonic,single_mlp,36,0.30851590633392334,0.24763847887516022,0.056974463164806415,2.20548827201128e-07,1.3894576113671064e-05,True,0.8828828828828829,large,calibrator effect within model,31,5,0
H2,isotonic vs raw,cal_ece_mean,isotonic,single_mlp,36,0.0173611490923523,0.02762454516287365,-0.002469940142791999,0.03626942803384736,0.797927416744642,False,-0.3993993993993994,medium,calibrator effect within model,11,25,0
H2,isotonic vs raw,cal_brier_score,isotonic,single_mlp,36,0.1455222964286804,0.13891846686601633,0.0007551535964012007,0.1762826904305257,1.0,False,0.26126126126126126,small,calibrator effect within model,20,16,0
H2,dirichlet vs raw,cal_nll,dirichlet,single_mlp,36,0.25000058840243344,0.24763847887516022,-0.0015464097675329004,0.6357367984892335,1.0,False,-0.09309309309309309,small,calibrator effect within model,14,22,0
H2,dirichlet vs raw,cal_ece_mean,dirichlet,single_mlp,36,0.0198789300773616,0.02762454516287365,-0.0010674252291133033,0.2515454127569683,1.0,False,-0.2222222222222222,small,calibrator effect within model,13,23,0
