task_id,dataset_name,n_samples,regime,n_classes,seed,config_idx,is_fixed,hidden_dims,lr,dropout,weight_decay,val_cal_nll,nll_ts,ece_ts,brier_ts,nll_raw,temperature
9985,first-order-theorem-proving,6118,medium,6,4,5,False,"(512, 256)",0.0005,0.05,0.001,1.2725785970687866,1.267246961593628,0.0486787148347542,0.5915923118591309,1.2710431814193726,1.1087377071380615
9985,first-order-theorem-proving,6118,medium,6,4,6,False,"(512, 256)",0.0001,0.0,0.001,1.2652246952056885,1.2587069272994995,0.0448570834647271,0.58864825963974,1.2588002681732178,1.0426150560379028
9985,first-order-theorem-proving,6118,medium,6,4,7,False,"(128, 64)",0.0005,0.3,0.001,1.2788044214248655,1.2746697664260864,0.0479778861403789,0.598052978515625,1.274538278579712,1.0183736085891724
9985,first-order-theorem-proving,6118,medium,6,4,8,False,"(64, 32)",0.0001,0.1,0.0001,1.3563759326934814,1.3336257934570312,0.0474271694267237,0.6250220537185669,1.3384287357330322,0.9253037571907043
9985,first-order-theorem-proving,6118,medium,6,4,9,False,"(128, 64)",0.003,0.2,0.001,1.290117621421814,1.2621145248413086,0.0620758583635286,0.5865511298179626,1.2764887809753418,1.2259372472763062
9985,first-order-theorem-proving,6118,medium,6,4,10,False,"(512, 256, 128)",0.0005,0.1,0.001,1.2720754146575928,1.255942702293396,0.0449967191499822,0.5898740887641907,1.2565960884094238,1.0798468589782717
9985,first-order-theorem-proving,6118,medium,6,4,11,False,"(512, 256)",0.003,0.0,0.0001,1.3366891145706177,1.2954622507095337,0.0417692567585015,0.6088275909423828,1.3114975690841677,1.2361887693405151
9985,first-order-theorem-proving,6118,medium,6,4,12,False,"(256, 128, 64)",0.001,0.3,0.0,1.2738609313964844,1.242834210395813,0.0629318364873561,0.5827481746673584,1.2462798357009888,1.1490302085876465
9985,first-order-theorem-proving,6118,medium,6,4,13,False,"(128, 64)",0.003,0.0,0.001,1.2799561023712158,1.264779567718506,0.0457201169393875,0.5935375690460205,1.264861822128296,1.075145244598389
9985,first-order-theorem-proving,6118,medium,6,4,14,False,"(512, 256, 128)",0.0005,0.05,0.0,1.265868902206421,1.2443522214889526,0.0379058340958001,0.5866658687591553,1.243644118309021,1.0564075708389282
10101,blood-transfusion-service-center,748,small,2,3,0,True,"(256, 128)",0.001,0.1,0.0001,0.576697587966919,0.4737125039100647,0.0948395869466993,0.3028661012649536,0.4679025411605835,1.495344638824463
10101,blood-transfusion-service-center,748,small,2,3,1,False,"(512, 256)",0.0001,0.1,0.001,0.5781155228614807,0.4789273142814636,0.0992211612065633,0.3082934617996216,0.4796542227268219,1.4906601905822754
10101,blood-transfusion-service-center,748,small,2,3,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.5599051117897034,0.4782960116863251,0.0953629423512352,0.3066647946834564,0.4709832370281219,1.2696973085403442
10101,blood-transfusion-service-center,748,small,2,3,3,False,"(256, 128)",0.001,0.3,0.001,0.5843943357467651,0.4743319749832153,0.0908404201931423,0.3043713867664337,0.4701524972915649,1.5342715978622437
10101,blood-transfusion-service-center,748,small,2,3,4,False,"(256, 128)",0.0005,0.3,1e-05,0.5823293328285217,0.4794604480266571,0.0913463995191786,0.3089830577373504,0.4743288159370422,1.4965088367462158
10101,blood-transfusion-service-center,748,small,2,3,5,False,"(512, 256)",0.0005,0.05,0.001,0.5839318633079529,0.4736256003379822,0.0965931970543331,0.3038530349731445,0.4698319435119629,1.5434530973434448
10101,blood-transfusion-service-center,748,small,2,3,6,False,"(512, 256)",0.0001,0.0,0.001,0.5964562296867371,0.4840501844882965,0.0736288939581977,0.3115783035755157,0.4928582906723022,1.5996733903884888
10101,blood-transfusion-service-center,748,small,2,3,7,False,"(128, 64)",0.0005,0.3,0.001,0.5648856163024902,0.472972571849823,0.0738565724425845,0.3033992648124695,0.4675405919551849,1.4124072790145874
10101,blood-transfusion-service-center,748,small,2,3,8,False,"(64, 32)",0.0001,0.1,0.0001,0.5393795967102051,0.4880292117595672,0.088129717376497,0.3158012330532074,0.491823673248291,0.9279611706733704
10101,blood-transfusion-service-center,748,small,2,3,9,False,"(128, 64)",0.003,0.2,0.001,0.5775565505027771,0.4696470499038696,0.0775450792577531,0.2996185421943664,0.4675533473491668,1.530467867851257
10101,blood-transfusion-service-center,748,small,2,3,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.6155690550804138,0.4928657114505768,0.0977895253234439,0.3190336227416992,0.5120240449905396,1.68812358379364
10101,blood-transfusion-service-center,748,small,2,3,11,False,"(512, 256)",0.003,0.0,0.0001,0.6111451983451843,0.4728138148784637,0.0698295844925774,0.3032368123531341,0.4838153123855591,1.7074934244155884
10101,blood-transfusion-service-center,748,small,2,3,12,False,"(256, 128, 64)",0.001,0.3,0.0,0.6101948022842407,0.4911891222000122,0.1078924281067318,0.318105012178421,0.4944659471511841,1.660322189331055
10101,blood-transfusion-service-center,748,small,2,3,13,False,"(128, 64)",0.003,0.0,0.001,0.5945390462875366,0.4734977185726166,0.0754767824543847,0.3026914596557617,0.472251683473587,1.6075387001037598
10101,blood-transfusion-service-center,748,small,2,3,14,False,"(512, 256, 128)",0.0005,0.05,0.0,0.6089636087417603,0.4869977831840515,0.0957297462887234,0.3134555518627167,0.5027625560760498,1.6660200357437134
10101,blood-transfusion-service-center,748,small,2,4,0,True,"(256, 128)",0.001,0.1,0.0001,0.513278067111969,0.4902563989162445,0.0551980479558308,0.3184186816215515,0.490679919719696,1.0997775793075562
10101,blood-transfusion-service-center,748,small,2,4,1,False,"(512, 256)",0.0001,0.1,0.001,0.507685661315918,0.4827593863010406,0.0519018673896789,0.3116782903671264,0.4829753637313843,1.0841479301452637
10101,blood-transfusion-service-center,748,small,2,4,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.521504819393158,0.497826337814331,0.0730623205502827,0.3241690993309021,0.4975702464580536,1.0447840690612793
10101,blood-transfusion-service-center,748,small,2,4,3,False,"(256, 128)",0.001,0.3,0.001,0.5135564208030701,0.4877805709838867,0.0618824255466461,0.3160514831542969,0.4879986047744751,1.103664755821228
10101,blood-transfusion-service-center,748,small,2,4,4,False,"(256, 128)",0.0005,0.3,1e-05,0.5113796591758728,0.4823671877384186,0.0336811994181739,0.3119278848171234,0.48583984375,1.175605058670044
10101,blood-transfusion-service-center,748,small,2,4,5,False,"(512, 256)",0.0005,0.05,0.001,0.5034523606300354,0.4959572255611419,0.0622411690817938,0.3208059668540954,0.4958455264568329,0.9790761470794678
10101,blood-transfusion-service-center,748,small,2,4,6,False,"(512, 256)",0.0001,0.0,0.001,0.5149406790733337,0.4882276952266693,0.0561231892638736,0.3162592947483063,0.4881706833839416,1.0960750579833984
10101,blood-transfusion-service-center,748,small,2,4,7,False,"(128, 64)",0.0005,0.3,0.001,0.5100849270820618,0.4814662635326385,0.0402789168887668,0.3099313378334045,0.4824112057685852,1.1242098808288574
10101,blood-transfusion-service-center,748,small,2,4,8,False,"(64, 32)",0.0001,0.1,0.0001,0.6217018365859985,0.6026752591133118,0.1028331873151991,0.4104717373847961,0.6051366329193115,0.8621887564659119
10101,blood-transfusion-service-center,748,small,2,4,9,False,"(128, 64)",0.003,0.2,0.001,0.5083768963813782,0.4910745620727539,0.0658909775151146,0.3168797791004181,0.4935448169708252,1.136330485343933
10101,blood-transfusion-service-center,748,small,2,4,10,False,"(512, 256, 128)",0.0005,0.1,0.001,0.505464494228363,0.4873424172401428,0.0480617761611938,0.3147188723087311,0.4873424768447876,0.9999902844429016
10101,blood-transfusion-service-center,748,small,2,4,11,False,"(512, 256)",0.003,0.0,0.0001,0.5109086632728577,0.4947462379932403,0.0609449905819363,0.3197244703769684,0.5009822845458984,1.187382459640503
10101,blood-transfusion-service-center,748,small,2,4,12,False,"(256, 128, 64)",0.001,0.3,0.0,0.5243955254554749,0.4953887462615967,0.0311667262183295,0.3223777115345001,0.5010775923728943,1.2236652374267578
10101,blood-transfusion-service-center,748,small,2,4,13,False,"(128, 64)",0.003,0.0,0.001,0.5110954642295837,0.4933052659034729,0.0752764639589521,0.319520503282547,0.4938142299652099,1.075431227684021
10101,blood-transfusion-service-center,748,small,2,4,14,False,"(512, 256, 128)",0.0005,0.05,0.0,0.508822500705719,0.4920629262924194,0.0636634449164072,0.3178250789642334,0.4920794665813446,1.0106920003890991
14952,PhishingWebsites,11055,large,2,3,0,True,"(256, 128)",0.001,0.1,0.0001,0.107529230415821,0.0964741185307502,0.0086041891465229,0.054293867200613,0.1002465561032295,1.2674380540847778
14952,PhishingWebsites,11055,large,2,3,1,False,"(512, 256)",0.0001,0.1,0.001,0.1024087369441986,0.0916341096162796,0.0062186012580062,0.0518725179135799,0.0936353132128715,1.211980938911438
14952,PhishingWebsites,11055,large,2,3,2,False,"(256, 128, 64)",0.0001,0.05,0.0001,0.1071808934211731,0.0964338630437851,0.0084813000407133,0.0531251952052116,0.0985294133424758,1.1873008012771606
14952,PhishingWebsites,11055,large,2,3,3,False,"(256, 128)",0.001,0.3,0.001,0.0944811552762985,0.0913612246513366,0.0076458825526617,0.0523626580834388,0.0967031642794609,1.2967556715011597
14952,PhishingWebsites,11055,large,2,3,4,False,"(256, 128)",0.0005,0.3,1e-05,0.0962961539626121,0.0965314358472824,0.0088144205516232,0.0555593706667423,0.100611999630928,1.2302124500274658
14952,PhishingWebsites,11055,large,2,3,5,False,"(512, 256)",0.0005,0.05,0.001,0.1059571802616119,0.0941269099712371,0.00734509338751,0.0528174638748168,0.0970605462789535,1.243699550628662
14952,PhishingWebsites,11055,large,2,3,6,False,"(512, 256)",0.0001,0.0,0.001,0.1117527037858963,0.0931134074926376,0.0052785746529686,0.0518393665552139,0.0962658897042274,1.2977412939071655
14952,PhishingWebsites,11055,large,2,3,7,False,"(128, 64)",0.0005,0.3,0.001,0.098295010626316,0.0931994616985321,0.0102899974150551,0.0531761609017849,0.09425700455904,1.1517268419265747
