task_id,dataset_name,n_samples,regime,n_classes,model_label,nll_ts,ece_ts,brier_ts
146800,MiceProtein,1080,medium,8,LightGBM,0.0788375735282898,0.0225489931066094,0.0383385270833969
146800,MiceProtein,1080,medium,8,XGBoost,0.1001221090555191,0.0197763636156364,0.0543219149112701
146800,MiceProtein,1080,medium,8,DeepEnsemble_M5,0.0137774879112839,0.0051545829132751,0.0059418622404336
146819,climate-model-simulation-crashes,540,small,2,SingleMLP_Fixed,0.1474003046751022,0.051606481090004,0.0799079611897468
146819,climate-model-simulation-crashes,540,small,2,SingleMLP_Tuned,0.1311782002449035,0.0486895911119602,0.076893575489521
146819,climate-model-simulation-crashes,540,small,2,LightGBM,0.1213633492588996,0.0436237274128713,0.0700170472264289
146819,climate-model-simulation-crashes,540,small,2,XGBoost,0.122721366584301,0.0394204847606611,0.0722242519259452
146819,climate-model-simulation-crashes,540,small,2,DeepEnsemble_M5,0.1223017051815986,0.0460261226068308,0.0704751834273338
146820,wilt,4839,medium,2,SingleMLP_Fixed,0.0412617549300193,0.0059360634566338,0.0213568359613418
146820,wilt,4839,medium,2,SingleMLP_Tuned,0.0386010706424713,0.0058354380496934,0.0197864715009927
146820,wilt,4839,medium,2,LightGBM,0.051058355718851,0.0075201767986799,0.0276656504720449
146820,wilt,4839,medium,2,XGBoost,0.0515089780092239,0.0083113255251209,0.0268493127077817
146820,wilt,4839,medium,2,DeepEnsemble_M5,0.0380211472511291,0.006785376218068,0.0185125675052404
146821,car,1728,medium,4,SingleMLP_Fixed,0.0447931662201881,0.0121757533394073,0.0268111750483512
146821,car,1728,medium,4,SingleMLP_Tuned,0.024788437411189,0.0108031662098474,0.0136261126026511
146821,car,1728,medium,4,LightGBM,0.0319045335054397,0.0123144457105956,0.0155030451714992
146821,car,1728,medium,4,XGBoost,0.0421714410185813,0.014744902334691,0.0209462326020002
146821,car,1728,medium,4,DeepEnsemble_M5,0.0347253642976284,0.0128428450209556,0.0212818104773759
146825,Fashion-MNIST,70000,large,10,SingleMLP_Fixed,0.3000773191452026,0.0058900771825796,0.1547490209341049
146825,Fashion-MNIST,70000,large,10,SingleMLP_Tuned,0.3003450632095337,0.00618022559051,0.1531390249729156
146825,Fashion-MNIST,70000,large,10,LightGBM,0.2778562605381012,0.0088683742880821,0.1453957110643386
146825,Fashion-MNIST,70000,large,10,XGBoost,0.2640065848827362,0.0063955240267372,0.1393049955368042
146825,Fashion-MNIST,70000,large,10,DeepEnsemble_M5,0.2820042073726654,0.0064502107153336,0.1463701128959655
167119,jungle_chess_2pcs_raw_endgame_complete,44819,large,3,SingleMLP_Fixed,0.2383133620023727,0.0246888641093469,0.1545422375202179
167119,jungle_chess_2pcs_raw_endgame_complete,44819,large,3,SingleMLP_Tuned,0.2061913758516311,0.0226209667984633,0.1369234472513198
167119,jungle_chess_2pcs_raw_endgame_complete,44819,large,3,LightGBM,0.2623821496963501,0.0409055433510209,0.1706550866365432
167119,jungle_chess_2pcs_raw_endgame_complete,44819,large,3,XGBoost,0.2763769924640655,0.0287371504030623,0.1762532740831375
167119,jungle_chess_2pcs_raw_endgame_complete,44819,large,3,DeepEnsemble_M5,0.2369376271963119,0.0249645618529843,0.153169497847557
167120,numerai28.6,96320,large,2,SingleMLP_Fixed,0.6931080222129822,0.0140754878386888,0.4999368488788605
167120,numerai28.6,96320,large,2,SingleMLP_Tuned,0.6920522451400757,0.0048764796653228,0.4989062845706939
167120,numerai28.6,96320,large,2,LightGBM,0.6921393871307373,0.0015803057904605,0.498993843793869
167120,numerai28.6,96320,large,2,XGBoost,0.6920663714408875,0.0031213369478336,0.4989201724529266
167120,numerai28.6,96320,large,2,DeepEnsemble_M5,0.6921924352645874,0.00899749335442,0.4990471601486206
167124,CIFAR_10,60000,large,10,SingleMLP_Fixed,1.3106684684753418,0.0099641741841203,0.5965807437896729
167124,CIFAR_10,60000,large,10,SingleMLP_Tuned,1.2813720703125,0.011265584964719,0.5861415863037109
167124,CIFAR_10,60000,large,10,LightGBM,1.2563107013702393,0.0198502459662656,0.5714552998542786
167124,CIFAR_10,60000,large,10,XGBoost,1.2760614156723022,0.0105123077742755,0.5800581574440002
167124,CIFAR_10,60000,large,10,DeepEnsemble_M5,1.238194704055786,0.0141290859455863,0.5670672059059143
167125,Internet-Advertisements,3279,medium,2,SingleMLP_Fixed,0.0821658447384834,0.0143268058394513,0.0431433580815792
167125,Internet-Advertisements,3279,medium,2,SingleMLP_Tuned,0.0850050896406173,0.0117000507690557,0.0435970686376094
167125,Internet-Advertisements,3279,medium,2,LightGBM,0.0878846794366836,0.0096198572678779,0.0429500937461853
167125,Internet-Advertisements,3279,medium,2,XGBoost,0.0838965773582458,0.009452745227552,0.0423796772956848
167125,Internet-Advertisements,3279,medium,2,DeepEnsemble_M5,0.0864098966121673,0.0107803753297018,0.0445788577198982
